"Mission","Index","Title","Description","Latitude","Longitude","Image"
"1","1","Tattoo Museum","","-41.296375","174.774828","https://lh3.googleusercontent.com/0kTYKJC_1Qaqy9SeTrFcPcPW4lvX6DWtEXEuYLck8OiqWhnJkYRv1e9u73ipceMOuWPZuw3Q8rfBn1Xcsj_sCxFduz3Hgr58vFTBUc3cVD5e"
"1","2","Shop Front on Cuba 282","","-41.297331","174.773399","https://lh3.googleusercontent.com/8V3z9psfcmi8o-AMdQopyvaqX7eNCRUR74Sh-Dj4AzMkN8HJaUu85mYRAso4dZ9d6uO4v2BcITy56tRRufKWqYjyANNh5ao-UqLuVkOwMN8l"
"1","3","Kiwi Art House Mural","","-41.297486","174.773259","https://lh3.googleusercontent.com/ZhQLqYtt150_NuxtMTMqACxOPvIvs_cpJQfzkJUk8TCIUfsf2xzXKJPWLJW9B4NtgUJjlydVqgGcd4dNOOuvlEPfbcP9F96pBJ0vW3HNatlM"
"1","4","Pie Heads","","-41.298373","174.774505","https://lh3.googleusercontent.com/n7fR2MKkXUtUQcxm0jLXOXtZUUj2LmbNajUWyTr_sbCKdyIP5AVanlDXLuz-aw2sCee38U-RyjQ7wWReRG5nBX96-sobMLFvlrVvbmwdXRI"
"1","5","Moving Forward","","-41.298435","174.774816","https://lh3.googleusercontent.com/GlnpX6HjTcRHzn5CbLgwWAAGHYPi7UInFOd03eFlghPiiEG4q_ASz42LGbGNxNQfSjhywD3VuXW02pfJrkZ9gdzgWt7MeU0yq676m-O3he8"
"1","6","Kakapo Kids","","-41.298715","174.77433","https://lh3.googleusercontent.com/CS9cve77pcmdrHwzGXZ0WJzrKYgmxDVwBZiV1ZjqC5W20-Gx4MG4sxld_we8m_szEs7u4SK7EQCS2UcjiFiNFUGbZLxxOHKpcm2GogoeXXrP"
"2","1","Street Art","","-41.299122","174.774105","https://lh3.googleusercontent.com/soaRCaAVX2fHiraT8hrsVMW684QeHjZK_Cj6rQ85CFOwP5MIRzpjIDTB8po_i9fr1jy1bFUl7kvPwOx4xz8CY7nXjYqRk7dMC0hbswtdbTfC"
"2","2","Space Oddity","","-41.299433","174.773943","https://lh3.googleusercontent.com/tYQRRbeQkg315EVk6-rbyPXnOeKUKb9zXNrYvsljoWZT_f1CQfbC-AxhUmfarp6wQlmKtgXX13xKdTn1w8xFHm_amq-dL6qaNjbwPIfFE55Q"
"2","3","The Barracks","","-41.301075","174.772826","https://lh3.googleusercontent.com/J5ClwrAu3zYTm_C38m6APZjR1-AujVj0dKXJHK-gU3F5hmY4n8WPfu2iHYhSLIQvF1YVPrIgrD7y3ZPX3MD8bg27f3cnRU0XH8fJMqkrUrcK"
"2","4","Here's a Tip","","-41.300695","174.774177","https://lh3.googleusercontent.com/Aed2mc5AQ2FBwuh2coCRnjsXCoeiaN1hHgxmG0r3CqOBSWK8DQZldHyaPrXH7wUz34BoNQsww_Q-Q0fprRQY_y2es-qVXf2XEPEe_DMqHBwucQ"
"2","5","Heart Stone","","-41.298851","174.77542","https://lh3.googleusercontent.com/Px3A4jAjg0q5a2uI8NwXkqR335eF_0LlueJuhuoHTxOXFgYHZ5voLD72zEBhC5I9BOgW6eU0So5kZtVYiQ-RIIuUrBsXTIDUqP-d2tVz9oo"
"2","6","Le Calligramme","","-41.297896","174.776552","https://lh3.googleusercontent.com/DfDDZtBKYU5Xm44E-2OdpiYSEgeIYrnE_hBr5npdTu5c40AP531ClYBXb1JhJmpKmCMDSzR3A_IUq6Gn5J8N9UvTWkcWgepRHswoBlV3IwrI"
"3","1","Whakaruruhau | Shelter","","-41.298024","174.776908","https://lh3.googleusercontent.com/VPfjMJRLKQ5xLJ1manKfrGR0pTo-4KVMEux549xjpDZzMDxjMYW8ICyxlIaM_fT9IOdEJSP3W5rh6DSOBp_44veeggKAeB4-5IsfsmZYOZpL"
"3","2","The Man With The Donkey","","-41.298798","174.777154","https://lh3.googleusercontent.com/utmGenTmzUL6J1aYzhCVsOA-4DXBSfoLqIoHkslFvc3b-bVj81onm7Ys4C1YX46CfWrfzJDcEWRG0yXEaUBoDdyQjfoikJtNpRM_MXPQ-FUpbg"
"3","3","The Empty Soul","","-41.298688","174.777665","https://lh3.googleusercontent.com/6j0PGvM42HhsraFPAJiuofbLiClr2QmOLi7De4z-848HaulYhwSvfafCdwMmKrj06OZ-VpGZJMbqK18EJ3mU1myoNy_XciLLYSmFaOk5qnE"
"3","4","Tunnel Of Leaves","","-41.298556","174.778796","https://lh3.googleusercontent.com/G8xyOE9A4DlaYPw3FEGucf88MmJovH2BpffJv4k8CWcRAGbifbxETYjF74HIAl7X-UpvQF2oA_mh1NYAQcSc_z9lIOkYknpLXmug1NhPe4Kd"
"3","5","Te Reo Hotunui o Te Moana-nui-a-Kiwa","","-41.298714","174.779351","https://lh3.googleusercontent.com/t31IsnT9RT3KOc68KDvKuVhbl1V7bSD-PEBaY3OJ7beeV_IB06NMAEU81n2lTdYlpuSYaJMJiQixMHyRF3yPYq1mUiamrC7PDPgMUN4QUH76"
"3","6","Urban Escape","","-41.298064","174.778436","https://lh3.googleusercontent.com/lnxldkYERspZuOVQYuMGGQ8KMkwU4Z2RxXdz_RUopGEKvFmHvYtIEqWgwHDRPHRXXg4iymTmFXn3H-nFowd95avleECAI5b3-BxOBmQuJIW4"
"4","1","Mechanical Gorilla Mural","","-41.297244","174.779082","https://lh3.googleusercontent.com/XKaS7aSfDU99GgKsxYQvXfdZTf8jD97pZJ8yMIlFJjqz0EerqERGlwLA2FTIf1Sn4Uw3FBKOffk8kHB2g_g_vzhMKDUwPmlgIj9ysR1EohE"
